Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MAX_ERROR);Tolerancja_0.01;2;4895.5;4893;4898;3.5355339059327378;6.929467117352124e-06;0.00263061672960634;0.009857439032657123;0.04401843565784013
Fidelity (MAX_ERROR);Tolerancja_0.1;2;4290.0;4253;4327;52.32590180780452;0.00036601337708652514;0.019128275601071568;0.09957088278684423;0.31976948160671204
Fidelity (MAX_ERROR);Tolerancja_1.0;2;2479.5;2464;2495;21.920310216782973;0.0060441484677384695;0.07751187345510192;0.9987343802070803;1.2997643536803571
