Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MSE);Tolerancja_0.01;2;1911.5;1723;2100;266.5792565073284;0.009996777971264657;0.0999838883890595;1.537330586814325;1.669855668110527
Fidelity (MSE);Tolerancja_0.1;2;254.0;210;298;62.22539674441618;0.09964902252319593;0.3156720791985398;3.279042429289853;5.272450505261688
Fidelity (MSE);Tolerancja_1.0;2;27.5;25;30;3.5355339059327378;0.9747195501694967;0.987250112302599;3.8130470111631443;16.48170478606404
