Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Energetyczne;Prog_Energii_99.0%;1000;5.484;1;16;2.327909612326725;0.2299582073686108;0.4734082177369769;1.2413826425882968;8.4595411011468
Energetyczne;Prog_Energii_99.9%;1000;15.033;1;115;10.13620509133737;0.023200375923250957;0.14904783083621076;0.8548082712200326;2.6624821002752737
Energetyczne;Prog_Energii_99.99%;1000;83.78;7;1087;115.26174069858942;0.002837253626833536;0.052812586365601044;0.6878659623294254;0.9439972132014257
