Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MSE);Tolerancja_0.01;1000;30.69;3;358;34.85709277775349;0.00871334705268372;0.09267487599057853;0.7738457961027172;1.6621322837516852
Fidelity (MSE);Tolerancja_0.1;1000;9.083;1;39;3.649030888664336;0.07980318095679571;0.2806015935776308;0.9993199764165839;5.03546347993488
Fidelity (MSE);Tolerancja_1.0;1000;1.804;1;8;1.1299826816641312;0.7197324301305043;0.8388500860898304;1.9157300963551207;15.043373271206093
