Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MSE);Tolerancja_0.01;1000;1983.751;777;2916;379.94270285986096;0.00999406910274205;0.09997033892870089;1.4910515769050974;1.6536568294834344
Fidelity (MSE);Tolerancja_0.1;1000;289.636;78;664;100.27584329612363;0.09975568859687825;0.31584107531046995;3.4940286704069425;5.22444813148051
Fidelity (MSE);Tolerancja_1.0;1000;30.142;10;76;10.136201388023947;0.9751789169902243;0.9874524572372463;4.169817640216852;16.332945908451233
