Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MAX_ERROR);Tolerancja_0.01;1000;4899.472;4815;4943;20.647603723908006;7.056993041742464e-06;0.0026507281808580995;0.009847247880953798;0.04384172053211473
Fidelity (MAX_ERROR);Tolerancja_0.1;1000;4235.813;3839;4476;84.88272561663001;0.0004591175530665911;0.02125998814402496;0.0995545644799376;0.35126997634077206
Fidelity (MAX_ERROR);Tolerancja_1.0;1000;2484.588;1705;2856;167.21912717297764;0.0065370813540434536;0.07995900764296236;0.998961786440979;1.3205472167808086
