Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MSE);Tolerancja_0.01;0;1723;0.00999561422149187;0.09997806870255031;1.7509420775766724;1.582787563127155
Fidelity (MSE);Tolerancja_0.1;0;210;0.09939574595277806;0.3152709088272784;3.2424180187834555;4.991163361959225
Fidelity (MSE);Tolerancja_1.0;0;25;0.9895960601684026;0.9947844289937406;3.7858837881474257;15.748778133415545
Fidelity (MSE);Tolerancja_0.01;1;2100;0.009997941721037443;0.09998970807556867;1.3237190960519776;1.7569237730938991
Fidelity (MSE);Tolerancja_0.1;1;298;0.09990229909361381;0.31607324956980115;3.3156668397962505;5.553737648564152
Fidelity (MSE);Tolerancja_1.0;1;30;0.9598430401705907;0.9797157956114573;3.8402102341788624;17.214631438712534
