Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Energetyczne;Prog_Energii_99.0%;2;72.0;51;93;29.698484809834994;0.36083507706208073;0.5998608145504907;3.665281401234786;9.990857926901725
Energetyczne;Prog_Energii_99.9%;2;713.0;534;892;253.144227664784;0.03607834373722531;0.18968855532563927;2.835880842461163;3.1594767606937317
Energetyczne;Prog_Energii_99.99%;2;2957.0;2715;3199;342.239682094289;0.003611007475187936;0.060010040109779894;0.6543209755981352;0.9995160806279657
