Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MAX_ERROR);Tolerancja_0.01;1000;4826.51;4627;4913;39.681311804255095;6.9972185858041905e-06;0.0026394191889805543;0.009886635551377657;0.04619630421056254
Fidelity (MAX_ERROR);Tolerancja_0.1;1000;3540.33;2303;4542;283.1549183888705;0.0006085764579837696;0.02438425168467599;0.0996190185869331;0.42670241337385745
Fidelity (MAX_ERROR);Tolerancja_1.0;1000;444.141;29;3121;514.7509355451864;0.049998436844007024;0.20869831326131402;0.9930788787457439;3.653284149156958
