Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MSE);Tolerancja_0.01;1000;934.542;250;1891;313.68838460905533;0.009991617565345064;0.09995807343475084;0.6813747600233481;1.7495668872729209
Fidelity (MSE);Tolerancja_0.1;1000;101.947;22;242;40.00723396799346;0.09929849416078937;0.315114764767199;1.3547108966793515;5.515520330089871
Fidelity (MSE);Tolerancja_1.0;1000;9.312;3;24;3.5283289394705104;0.9366030957439577;0.9673079380536806;3.17852069297086;16.93109273145667
