Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Energetyczne;Prog_Energii_99.0%;1000;31.461;7;88;13.195324762793662;0.32111411527017847;0.5648829024866241;2.0545975596441295;9.824008972459415
Energetyczne;Prog_Energii_99.9%;1000;310.441;49;824;126.84509528238449;0.03319045335895899;0.1815935790939066;0.9800973331478254;3.1572775860265483
Energetyczne;Prog_Energii_99.99%;1000;2015.216;589;3121;451.1370501100324;0.0033273627434516517;0.05749587559662992;0.37425756681502625;0.9996346014095966
