Strategia;Konfiguracja;count;mean_K;min_K;max_K;std_K;mean_MSE;mean_RMSE;mean_MaxError;mean_PRD
Fidelity (MSE);Tolerancja_0.01;100;1986.64;976;2803;369.36695832057035;0.009994227369506219;0.0999711304829851;1.4962973017851606;1.6591222942918145
Fidelity (MSE);Tolerancja_0.1;100;290.51;102;586;97.02613362419737;0.09973095924230664;0.315801873474315;3.5101971722223415;5.241000626733679
Fidelity (MSE);Tolerancja_1.0;100;29.9;11;67;9.66980095477929;0.9771635725373595;0.988466068799483;4.226481566836616;16.406158250858724
